,Winery,Wine,Name,Year,Rating,Number_of_reviews,Region,Country,Description,Food_1,Food_2,Flavour_1,Flavour_2,Grape_1,Grape_2,Price
0,Cabalié,Blanc,Cabalié Blanc 2019,2019,4.1,658,Côtes Catalanes,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,tree_fruit,citrus_fruit,Grenache Blanc,Bourboulenc,67.0
0,Cabalié,Côtes Catalanes,Cabalié Côtes Catalanes 2019,2019,4.2,3207,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,black_fruit,red_fruit,Shiraz/Syrah,Grenache,67.0
0,Badet Clement,Le Bosq Rouge,Badet Clement Le Bosq Rouge 2017,2017,3.6,101,Vin de France,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,red_fruit,black_fruit,Shiraz/Syrah,Grenache,67.95
0,Rex Mundi,Shiraz - Grenache,Rex Mundi Shiraz - Grenache 2019,2019,4.0,1651,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,black_fruit,red_fruit,Shiraz/Syrah,Grenache,68.0
0,Château de Saint-Louis,Prestige Corbières Rouge,Château de Saint-Louis Prestige Corbières Rouge 2016,2016,3.7,69,Corbières,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,earth,red_fruit,Shiraz/Syrah,Grenache,69.0
0,Château La Roche Bazin,Blaye - Côtes de Bordeaux,Château La Roche Bazin Blaye - Côtes de Bordeaux 2018,2018,3.9,276,Blaye - Côtes de Bordeaux,Frankrig,"Bordeaux has a cool marine coastal climate, with mild weather and no dry season. Bordeaux reds tend to be lower in alcohol and are slightly lighter in body.

Stylistically, they exhibit more nuanced flavors and less up-front fruit. Sophisticated and elegant, they pair well with game meats, roast lamb, or hearty beef stews.

Bordeaux is the largest wine producing region in France. It consists of two major areas—the Left and the Right Bank. Both lie in the heart of the Gironde estuary and are further divided by its tributaries, the Garonne and the Dordogne rivers.

While the Right Bank produces blends that are mostly Merlot dominant, the Left Bank produces blends that are primarily Cabernet Sauvignon dominant.

Bordeaux reds are said to be terroir-driven (if you like French wines, you'll hear this term a lot). Terroir is a concise way to define a specific region based upon the soil, climate, and the collective knowledge of the generations of people who have farmed the land.

When shopping for Bordeaux reds, keep in mind, French wines are all about the region and the blend, not about individual grape varieties. In fact, you will rarely find blend percentages listed on the label.

Collectively, Bordeaux produces 700 million bottles of wine in an average year! While some of the most expensive wines in the world come from Bordeaux, most are every day, affordable table wines.",Beef,Veal,black_fruit,oak,Cabernet Sauvignon,Cabernet Franc,69.0
0,Domaine La Grange,Rondeur Appassimento,Domaine La Grange Rondeur Appassimento 2019,2019,3.8,282,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,oak,spices,Shiraz/Syrah,Grenache,69.0
0,Domaine de Javone,La Première Pente Côtes du Rhône Rouge,Domaine de Javone La Première Pente Côtes du Rhône Rouge 2018,2018,3.2,79,Côtes-du-Rhône,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,red_fruit,earth,Shiraz/Syrah,Grenache,69.0
0,La Petite Laurette du Midi,Rosé,La Petite Laurette du Midi Rosé 2020,2020,3.8,68,Pays d'Oc,Frankrig,,Pasta,Vegetarian,red_fruit,citrus_fruit,Shiraz/Syrah,Grenache,69.0
0,Calmel & Joseph,Villa Blanche Chardonnay,Calmel & Joseph Villa Blanche Chardonnay 2020,2020,3.9,25,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,oak,microbio,Grenache Blanc,Bourboulenc,69.0
0,Calmel & Joseph,Villa Blanche Picpoul-de-Pinet,Calmel & Joseph Villa Blanche Picpoul-de-Pinet 2019,2019,3.8,170,Picpoul de Pinet,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,tree_fruit,citrus_fruit,Grenache Blanc,Bourboulenc,69.0
0,Les Gres,Chardonnay - Viognier,Les Gres Chardonnay - Viognier 2018,2018,3.6,234,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,citrus_fruit,tree_fruit,Grenache Blanc,Bourboulenc,69.75
0,Vidal Fleury,Ventoux,Vidal Fleury Ventoux 2016,2016,3.6,357,Ventoux,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,black_fruit,red_fruit,Shiraz/Syrah,Grenache,69.95
0,Château Liotin,Bordeaux,Château Liotin Bordeaux 2016,2016,3.1,106,Bordeaux,Frankrig,"Bordeaux has a cool marine coastal climate, with mild weather and no dry season. Bordeaux reds tend to be lower in alcohol and are slightly lighter in body.

Stylistically, they exhibit more nuanced flavors and less up-front fruit. Sophisticated and elegant, they pair well with game meats, roast lamb, or hearty beef stews.

Bordeaux is the largest wine producing region in France. It consists of two major areas—the Left and the Right Bank. Both lie in the heart of the Gironde estuary and are further divided by its tributaries, the Garonne and the Dordogne rivers.

While the Right Bank produces blends that are mostly Merlot dominant, the Left Bank produces blends that are primarily Cabernet Sauvignon dominant.

Bordeaux reds are said to be terroir-driven (if you like French wines, you'll hear this term a lot). Terroir is a concise way to define a specific region based upon the soil, climate, and the collective knowledge of the generations of people who have farmed the land.

When shopping for Bordeaux reds, keep in mind, French wines are all about the region and the blend, not about individual grape varieties. In fact, you will rarely find blend percentages listed on the label.

Collectively, Bordeaux produces 700 million bottles of wine in an average year! While some of the most expensive wines in the world come from Bordeaux, most are every day, affordable table wines.",Beef,Veal,black_fruit,red_fruit,Cabernet Sauvignon,Cabernet Franc,69.95
0,Château de Pennautier,Syrah de Pennautier,Château de Pennautier Syrah de Pennautier 2018,2018,3.3,29,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,spices,black_fruit,Shiraz/Syrah,Grenache,75.0
0,Château de Fabregues,Costières-de-Nîmes Syrah,Château de Fabregues Costières-de-Nîmes Syrah 2016,2016,3.7,102,Costières-de-Nîmes,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,black_fruit,oak,Shiraz/Syrah,Grenache,75.0
0,Foncalieu,Réserve de l’Abbé Côtes du Rhône,Foncalieu Réserve de l’Abbé Côtes du Rhône 2019,2019,3.4,61,Côtes-du-Rhône,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,red_fruit,oak,Shiraz/Syrah,Grenache,75.0
0,Château Le Chêne,Haut-Médoc,Château Le Chêne Haut-Médoc 2016,2016,3.6,81,Haut-Médoc,Frankrig,"Médoc wines tend to be ruby in color, balanced and well-rounded on the palate with notes of cassis, cherries and earth, with firm tannins.

While most Bordeaux wines require aging, those labeled simply 'Médoc' tend to be lighter in style and more approachable in their youth.

Grown on gravel rich soils in the Left Bank of Bordeaux, wines from the Médoc are predominantly Cabernet Sauvignon and Merlot blends, but sometimes see the addition of Petit Verdot and Malbec.",Beef,Lamb,oak,black_fruit,Cabernet Sauvignon,Cabernet Franc,75.0
